name_restoran_steak,name,rating,review
Steak Hotel by HOLYCOW! TKP Semarang,Nirmala Hidajati,5.0,"The best steak house that I ever eaten. I ordered rib eye with mushroom sauce and mash potato and green bean. Rib eye is welldone but still juicy and smooth. Mushroom sauce is so nice creamy but not heavy. The greenbean is seasoned good. The waitress is friendly and very helpfull. The place is cozy and nice for take lunch or dinner with family, coworkers, and friends."
Steak Hotel by HOLYCOW! TKP Semarang,Chendy Christian,4.0,They didn't provide some mustard and other things now ? Just sambal sauce ?
Steak Hotel by HOLYCOW! TKP Semarang,Arno “Rockerss07” Febrianto,5.0,"Great place for family dinners, medium price. Great 🥩 steak Back again one year later , order 3 tenderloin and two wagyu tenderloin valleys . 22/12/2020 Not crowded because of covid19 pandemic ."
Steak Hotel by HOLYCOW! TKP Semarang,Kiki Maliana,4.0,"One of famous steak house in Semarang, have a cozy place and many facilities like mushola, rest room and large parking area for car and motorcycle, the steak is very good but when i was order well done Legendary steak, it's not well done cooked.. i hope next time it will be attention"
Steak Hotel by HOLYCOW! TKP Semarang,Ignasius Bagus Satrio Suhardiyono,4.0,"$$$$ Price range: around IDR 25k - 250k 5 🌟 for the service, but 4 🌟 for the taste. The hospitality of the staffs is very good. I ordered medium steak, but unfortunately it's more well done than medium."
Steak Hotel by HOLYCOW! TKP Semarang,Arafah Khoirul,4.0,The place was quite comfy. They have spacious parking lot. Im not an expert in food so for me the taste was quite tasty. I ordered medium steak. It was a bit raw but still ok. I liked the mashed potato. They still have birhtday promo and thats good
Steak Hotel by HOLYCOW! TKP Semarang,Wulan Dhesi,4.0,"Thought it's the best steak in town. Why? It has many menus you can choose with fair price. Starting from 45K rupiah to 200K. And it serves fresh meat with savoury taste. I came here several times. Buddy's tenderloin steak which made of Japanese meat is my favourite. The meat is soft, juicy, and no fat. It cost 99K. You can ask more sauces for free but only for 3times. Whereas, my husband ordered Australian prime sirloin. It's juicy, soft, but it has some fat. He said, mine was better. It cost 99K also. So, with their high quality meat and its fair price, I would recommend you to come here. Luckily, if you come here during on your birthday, you'll get an ice cream!"
Steak Hotel by HOLYCOW! TKP Semarang,Rezha August,4.0,"the holycow sc goes excellent with the spinach rather than w/ the steak.black pepper sc no argue!love it!reasonable price,lovable wait staff.but to me using frying pan as the serving plate is a big No! A bit challenging to cut the steak while the knife kept colliding the tall body of the pan (serving plate). And kinda think the ambience can be improved in order to enjoy the steak more."
Steak Hotel by HOLYCOW! TKP Semarang,Robertus Nugroho,2.0,"The Steak are uneatable,the meat have to many muscle tendon.....at the price they serve they should and could serve better quality meat,I think this kind of meat should not be serve as a steak.....maybe its a should be grinded"
Steak Hotel by HOLYCOW! TKP Semarang,Flo Renshi,4.0,"Good service, good meat quality. Only too bad some menus already sold out."
Steak Hotel by HOLYCOW! TKP Semarang,Fajar Aribowo,1.0,"I order for medium-well steak, and i get Rare, Twice, even after re-grilled. And there are any a lot of muscle in a tenderloin. Really?Its very dissapointing"
Steak Hotel by HOLYCOW! TKP Semarang,Maximillion Levin Anggasaputra,1.0,"Compared to other holycow's places I had visited before, this place is a total disaster. The steak is so bad it is inedible, the mashed potato is easily the worst I had eaten, and the veggies are undercooked. I left with 75% of my steak untouched."
Steak Hotel by HOLYCOW! TKP Semarang,Hafidh Zainmunif,5.0,"Good food and nice place. i just give suggest , please give more your server trainning about how to give best service to your guest. Thanks"
Steak Hotel by HOLYCOW! TKP Semarang,Asy syifa Surya Prayitna,5.0,"Nice place for family or friend, maybe the price not safe for your pocket. But it nice meals as the price"
Steak Hotel by HOLYCOW! TKP Semarang,Surya Wijaya,5.0,One of the Best Steak Restaurant in Semarang
Steak Hotel by HOLYCOW! TKP Semarang,Budiaryawan Wahyu Praptama,5.0,Amazing steak quality. The place is comfortable with ac and private rooms which we can order i advance
Steak Hotel by HOLYCOW! TKP Semarang,Miss Tudor,4.0,Taste good but now Serving plate not so good..
Steak Hotel by HOLYCOW! TKP Semarang,Andika Febri Prastyawan,4.0,"the place and taste of the dishes remain the same, like last year. but the presentation is different. eat steak straight from the pan."
Steak Hotel by HOLYCOW! TKP Semarang,monique lusiani,5.0,"Very good place and taste, a.k.a cedak rumah 👍"
Steak Hotel by HOLYCOW! TKP Semarang,Spyca,5.0,Perfect place to spend quality time with your loved ones. Japanese sirloin is the best one for its price.
Steak Hotel by HOLYCOW! TKP Semarang,Taufan Kurniawan,4.0,Wagyu Sirloin + Buddy Steak with sidedish mashed potato + spinach (very yummy)
Steak Hotel by HOLYCOW! TKP Semarang,Ester Reni,4.0,"Cozy place to enjoying premium steak, little bit pricey but it's worth."
Steak Hotel by HOLYCOW! TKP Semarang,Wibi Sarastomo,5.0,"I have medium well Japan rib eyes. It's good. With corn and spinach. Plus buddy sauce. The sauce's great, meat good, so, if you look up for steak house in Semarang. This is the place."
Steak Hotel by HOLYCOW! TKP Semarang,KRISNHOE SUKMA DANUTA,5.0,"Good taste, reasonable price"
Steak Hotel by HOLYCOW! TKP Semarang,Ellena Rarisa,5.0,Steak ter the best..
Steak Hotel by HOLYCOW! TKP Semarang,Mark,5.0,"Absolutely hands down the best steak in town so far. Cooked to perfection, medium as requested. Try the onion rings as well. Will eat here many times due to the quality of the meat and the chef. Priced fairly as well."
Steak Hotel by HOLYCOW! TKP Semarang,Evita Ismira,3.0,"Just okay. I expected more than what I experienced on this place, since this place focusing on steak menu"
Steak Hotel by HOLYCOW! TKP Semarang,peter jacques woodruff,4.0,"Steak was great just not hot enough. But tasty either way , service ok."
Steak Hotel by HOLYCOW! TKP Semarang,Ade Krisnawati,3.0,Worse than others Holycow branch. Ask for medium rare but they serve welldone. The meat isnt juicy at all. Too bad
Steak Hotel by HOLYCOW! TKP Semarang,D C,4.0,"Always liked dining at Holy Cow branches in Jakarta. I often made it a point to have an empty stomach because the steak is so filling! However, I don't know why it is so different, but the Semarang branch has smaller steak servings and they don't offer refillable drinks. Staff were nice and attentive though. Overall still the place to go to when craving steaks in Semarang."
Steak Hotel by HOLYCOW! TKP Semarang,Gideon Setyabudi Salim,1.0,"The place is comfortable enough and we're impressed by the parking service. But, they should serve better food and beverage considering the high price they demand. We had high expectation when visiting this steak hotel but we're really disappointed. The food they served is not fresh, chicken is stinky/fishy like it has been stored for a long long time. Wagyu steak was more on the dry side (not juicy) and salty (look like they tried to preserve the meat for as long as possible). Beverage was ordinary, we could not taste the sarsaparilla at the first slurp. We wait for long time to enjoy all of our orders. We'll not coming back to this place."
Steak Hotel by HOLYCOW! TKP Semarang,Febriane Trinanda,5.0,"If you are steaks freak, this is the right place for you. Various steaks choice also beverages, from the ""economic one to lux"". You definitely got what you pay for. Worth the price. The waitress really helpful by answering all questions and give proper answer when we ask for suggestions. Btw, they should have a private place for their staff to have a break rather than allowed them to sat down on the back door.. they are quite surprised when we park our car on their back parking lot."
Steak Hotel by HOLYCOW! TKP Semarang,ariefbagus wicaksono,5.0,Nice place.. Delicious food.. Very reccomended
Steak Hotel by HOLYCOW! TKP Semarang,Rofiq Fauzi,5.0,The best steak house in Semarang. The place is nice and the price is reasonable. You can customize your steak level of cooking and topping option. Its also has delicious ice cream as appetizer.
Steak Hotel by HOLYCOW! TKP Semarang,Prasetyo Alvianto,5.0,Best. Steak. In. Town
Steak Hotel by HOLYCOW! TKP Semarang,Ricky Handaru,5.0,"Best steak I've ever eaten so far :)Note: Please use a regular plate instead of an iron pan, it's difficult slicing the steak :("
Steak Hotel by HOLYCOW! TKP Semarang,Widi Sagita,5.0,Best steak in town. Try ordering signature steak for 400gr and see how you will enjoy it. Price is worth paying.
Steak Hotel by HOLYCOW! TKP Semarang,Agung Sedayu,5.0,"Cozy place to enjoying premium steak, li'l bit expensive but it's worth..."
Steak Hotel by HOLYCOW! TKP Semarang,Izza Rifhana Hanifa,5.0,Good taste!
Steak Hotel by HOLYCOW! TKP Semarang,Elbert Van,5.0,"You get what you expected, good fast service, you can almost say that it is as fast as fast food but you are getting steak!"
Steak Hotel by HOLYCOW! TKP Semarang,eva romauli,5.0,"Great steak, burger and all food...nice place and good service....."
Steak Hotel by HOLYCOW! TKP Semarang,Johanna Linanda,5.0,Good taste for steak.. Tol
Steak Hotel by HOLYCOW! TKP Semarang,Alvina Noor Arifa,5.0,"Yummy steak, the fries platter is delicious"
Steak Hotel by HOLYCOW! TKP Semarang,Raden Arief Nugroho,4.0,"Where to find a great steak restaurant in Semarang? This is one of the options. Mostly imported meat. However, compared to Jakarta's finest steak restaurants (even for Willie Brothers level), this place is still nowhere near. Price ranges from 90k-200k. Beverage is rather limited. There is a playground for your kids, but not well-maintained. Flies and mosquitos bother me a lot. Small musholla is available."
Steak Hotel by HOLYCOW! TKP Semarang,Cindy Tabita,5.0,"Good steak. I asked for a very welldone meat since I am pregnant, and they let me check the meat to make sure it was well done. When there was a pink hue inside, they offer to grill it again"
Steak Hotel by HOLYCOW! TKP Semarang,Mr Mahdum,5.0,"Nice place. Nice service, and verry excellent test"
Steak Hotel by HOLYCOW! TKP Semarang,babenatsir,3.0,"Nice place, polite staff but steak size are not standarize. For example tenderloin should be big size and tick. Music are not to entertain due to small sound. Wish will be better next time so I can give 5 star.."
Steak Hotel by HOLYCOW! TKP Semarang,Anggriawan Pratama,5.0,"The same place with Jakarta but in Semarang, near Akpol"
Steak Hotel by HOLYCOW! TKP Semarang,cahya mufti,5.0,Yummy..tasty..real steak
Steak Hotel by HOLYCOW! TKP Semarang,Bimo Bayuaji,4.0,"Located in upper part of semarang. They serve great wagyu steak with a level of doneness as your preferences. You can choose also between french fries or mash potato and choice of vegetables from broccoli, spinach, etc. The steak come as per what is ordered. I order rib eye which was taste great. My mom order a Rib Steak but its very salty and over seasoned. Overall they meet the standard of holycow like in any other cities."
Steak Hotel by HOLYCOW! TKP Semarang,dowdo widodo,5.0,good place to have a diner in semarang
Steak Hotel by HOLYCOW! TKP Semarang,Sunan TEDJO,5.0,Good place for carnivore. The sauce is one of best taste. Steak is good with considering cheap. Location very good. Interior is unique. Service satisfied. Parking lot very good with helpful parking person.
Steak Hotel by HOLYCOW! TKP Semarang,Ignatius Christianto,3.0,"Don't pick the Australian beef, it's too toughAnd the doneness of the meat often slightly over"
Steak Hotel by HOLYCOW! TKP Semarang,Bravo Wijayadi,5.0,"Great steak. Good place. A bit on the high side for the price (at least for Semarang standard though). Nevertheless, one of the best steak for my taste in Semarang."
Steak Hotel by HOLYCOW! TKP Semarang,Roy Sebastianus,3.0,Steak too dry. I sense that the quality somehow declining compared to last time i eat here about 6 months ago. And the kids playground now empty only 2 toys and both broken.
Steak Hotel by HOLYCOW! TKP Semarang,Maxell,5.0,"Soft steak, good value, and the butter rice is very flavourful"
Steak Hotel by HOLYCOW! TKP Semarang,Yosua Putera,4.0,"One of the most decent place to eat steak in semarang, the other place that sell steak are just to terribleThe food it's self is just OK, the price is also OK for what you get its just one of the best option for now if you craving for steak in semarang"
Steak Hotel by HOLYCOW! TKP Semarang,Priyambudi R.S.,1.0,"Getting worse.. the meat is too thin.. ask for rare they give medium.. ask for medium,they give well done.. ask for well done, got over cooked. Vegetables a very cheap quality, and also over cooked."
Steak Hotel by HOLYCOW! TKP Semarang,Arizal Efendi,5.0,"Nice place, delicious meals, reasonable price."
Steak Hotel by HOLYCOW! TKP Semarang,Bayu Kurniawan,5.0,The best steak house in town
Steak Hotel by HOLYCOW! TKP Semarang,Agatha Sonia,5.0,"Not too expensive,, taste Good.."
Steak Hotel by HOLYCOW! TKP Semarang,Azis Awal Nugrahanto,5.0,Let’s try Carnivorian 👍🏻
Steak Hotel by HOLYCOW! TKP Semarang,Agus Yulianto,5.0,"Nothing I can say, just perfect"
Steak Hotel by HOLYCOW! TKP Semarang,Hermoko Triwibowo,5.0,tasty and affordable
Steak Hotel by HOLYCOW! TKP Semarang,Dewi Rinawati,1.0,Now quality of food is poor and service not good also the table seems dirty cause very old and not good in maintenance and dark
Steak Hotel by HOLYCOW! TKP Semarang,ami khavid,4.0,"Various kinds of steaks, side dishes, sauces, this place also offers kids menu, good coffee, spacious place, perfect for groups, romantic dinner, family friendly restaurant."
Steak Hotel by HOLYCOW! TKP Semarang,Zaki Islami,4.0,"Nice quiet place, the steak itself was decently cook but the garnish could've taste a lot better. Price is decent"
Steak Hotel by HOLYCOW! TKP Semarang,Naomi,4.0,Nice place to held Farewell for around 20 to 30 people. The steak is just a little bit too raw for me.
Steak Hotel by HOLYCOW! TKP Semarang,Meila Bayuputra,5.0,Good food. Good place . yummiieeee
Steak Hotel by HOLYCOW! TKP Semarang,Ayok Wing,5.0,"One of the best place to eat medium to high end steak in semarang. Delicious, good service"
Steak Hotel by HOLYCOW! TKP Semarang,Dimas Murtado,5.0,wagyu medium well..mmm..nyummi
Steak Hotel by HOLYCOW! TKP Semarang,Sandra Megawati,4.0,You can enjoy good steak in moderate price.. Big place so you can come with family or college..
Steak Hotel by HOLYCOW! TKP Semarang,Richard Kawilarang,5.0,Nice and cozy place with juicy steak.. recommended Japanese Tenderloin.. very tender... Come on Carnivores..😁
Steak Hotel by HOLYCOW! TKP Semarang,Adrian,5.0,"The Sausage Platter is to die for. You will get 1 Cheesy Beef Sausage, 1 Wagyu Beef Sausage, 2 Beef Sausages, and 2 Chicken Sausages. Yummy!"
Steak Hotel by HOLYCOW! TKP Semarang,corry eviana,5.0,"Like the food ,especially when they have promos 😍🤭"
Steak Hotel by HOLYCOW! TKP Semarang,Muhammad Sayudha,5.0,"Cozy places, reasonable prices. But the taste is little bit different from holycow store in jakarta"
Steak Hotel by HOLYCOW! TKP Semarang,Wahyu Wijayanto,5.0,great steak in semarang city with complete variation steak wagyu australian and japannese the price very competitive
Steak Hotel by HOLYCOW! TKP Semarang,Yi Ming Teo,5.0,The steak options offered is one of the best at affordable price range in semarang
Steak Hotel by HOLYCOW! TKP Semarang,irni ibrahim,4.0,"Nice ambience. Compared with other steak hotel outlet, the taste is just so so."
Steak Hotel by HOLYCOW! TKP Semarang,Aaron Stefan,4.0,"Nice place, the food is good, they cook the meat well and the serving size is acceptable"
Steak Hotel by HOLYCOW! TKP Semarang,Stefanus Sugiarto,4.0,Good steak for reasonable price. Kids.Meal is a bit expensive though for the quality and portion of the food.
Steak Hotel by HOLYCOW! TKP Semarang,zissiva lestari,3.0,"Okay, tasted better steak. Fairly cold beef when it was served. Love the sauce and fries"
Steak Hotel by HOLYCOW! TKP Semarang,Wisesa Maheswara,5.0,"The interior is nice and cozy, the food is amazingly delicious altough a bit pricey but it's worth it"
Steak Hotel by HOLYCOW! TKP Semarang,agung suryana,4.0,Nice and juicy steak with comfy atmosphere. Worth to try for steak restaurant alternative
Steak Hotel by HOLYCOW! TKP Semarang,Febby Natalia,5.0,The best in semarang so far
Steak Hotel by HOLYCOW! TKP Semarang,rizqi dini hari,4.0,Yummy
Steak Hotel by HOLYCOW! TKP Semarang,Andreas Uki,5.0,Always hv a choice for good one
Steak Hotel by HOLYCOW! TKP Semarang,Stefani Adi,5.0,Affordable quality steak. Get free chicken burger if you come on your birthday 😊
Steak Hotel by HOLYCOW! TKP Semarang,Adithiya Galih,5.0,"Good taste, real meat"
Steak Hotel by HOLYCOW! TKP Semarang,Eko Suryosudiono,5.0,The meat melting in your mouth
Steak Hotel by HOLYCOW! TKP Semarang,Dicky Fabro,5.0,Australia and Japanese steak
Steak Hotel by HOLYCOW! TKP Semarang,Publica Maharani,5.0,They have promo free steak on your birthday. It was delicious sirloin steak
Steak Hotel by HOLYCOW! TKP Semarang,Bagas WesOraWiraWiri,4.0,Well...i loved this steak
Steak Hotel by HOLYCOW! TKP Semarang,Simon Hoedoyo,3.0,"As regular customer, the meat quality decreasing over time. Need better quality management"
Steak Hotel by HOLYCOW! TKP Semarang,Fadli Oktarius,5.0,"Holy Steak nya, worth it lah 👌🏽"
Steak Hotel by HOLYCOW! TKP Semarang,Obed M,5.0,ahhh mantaff.. best ever steak in town
Steak Hotel by HOLYCOW! TKP Semarang,Sylva Syair,5.0,Spacious... good.food...
Steak Hotel by HOLYCOW! TKP Semarang,Neni Wardana,5.0,The best steak in town! Its pricey but worthed with its taste...
Steak Hotel by HOLYCOW! TKP Semarang,Liya Aryati,3.0,"The ambience is nice, the steak is okay"
Steak Hotel by HOLYCOW! TKP Semarang,idola aerindo udaya,4.0,So so place for steak experience. They have 400gr steak good for hungry stomach 😀
